id,type,identifier,label,familyName,givenName,sortLabel,officialFamilyName,officialGivenName
person/28382,Person,28382,Andrzej Jan SZEJNA,Szejna,Andrzej Jan,SZEJNA,,
person/165,Person,165,Gerhard REISCHL,Reischl,Gerhard,REISCHL,,
person/124787,Person,124787,Renata BRIANO,Briano,Renata,BRIANO,,
person/922,Person,922,Menelaos HADJIGEORGIOU,Hadjigeorgiou,Menelaos,HADJIGEORGIOU,ΧΑΤΖΗΓΕΩΡΓΙΟΥ,ΜΕΝΕΛΑΟΣ
person/1802,Person,1802,Victor ABENS,Abens,Victor,ABENS,,
person/21814,Person,21814,Domenico MENNITTI,MENNITTI,Domenico,MENNITTI,,
person/96862,Person,96862,Sophie AUCONIE,Auconie,Sophie,AUCONIE,,
person/2311,Person,2311,Maria Celeste CARDONA,Cardona,Maria Celeste,CARDONA,,
person/23763,Person,23763,Zofia GRZEBISZ-NOWICKA,Grzebisz-Nowicka,Zofia,GRZEBISZ NOWICKA,,
person/5896,Person,5896,Myrsini ZORBA,Zorba,Myrsini,ZORBA,ΖΟΡΜΠΑ,ΜΥΡΣΙΝΗ
person/96918,Person,96918,Derek VAUGHAN,Vaughan,Derek,VAUGHAN,,
person/4505,Person,4505,Alexander DE ROO,de Roo,Alexander,ROO,,
person/257105,Person,257105,Roxana MÎNZATU,Mînzatu,Roxana,MINZATUR,,
person/124855,Person,124855,Georgi PIRINSKI,Pirinski,Georgi,PIRINSKI,Пирински,Георги
person/1830,Person,1830,Claude A.F. DELCROIX,Delcroix,Claude A.F.,DELCROIX,,
person/28369,Person,28369,Giovanni BERLINGUER,BERLINGUER,Giovanni,BERLINGUERG,,
person/28576,Person,28576,Stavros LAMBRINIDIS,Lambrinidis,Stavros,LAMBRINIDIS,Λαμπρινίδης,Σταύρος
person/125103,Person,125103,Patricija ŠULIN,Šulin,Patricija,SULIN,,
person/4442,Person,4442,Niels BUSK,Busk,Niels,BUSK,,
person/671,Person,671,Paul VANKERKHOVEN,Vankerkhoven,Paul,VANKERKHOVEN,,
person/2047,Person,2047,Honório NOVO,Novo,Honório,NOVO,,
person/1342,Person,1342,Juan Carlos GARAIKOETXEA URRIZA,Garaikoetxea Urriza,Juan Carlos,GARAIKOETXEA URRIZA,,
person/2283,Person,2283,Wolfgang JUNG,Jung,Wolfgang,JUNGW,,
person/96667,Person,96667,Alan KELLY,Kelly,Alan,KELLY ALAN,,
person/204129,Person,204129,Nikolina BRNJAC,Brnjac,Nikolina,BRNJACN,,
person/39,Person,39,Decio SCARDACCIONE,Scardaccione,Decio,SCARDACCIONE,,
person/4501,Person,4501,Jules MAATEN,Maaten,Jules,MAATEN,,
person/197547,Person,197547,Irène TOLLERET,Tolleret,Irène,TOLLERET,,
person/197730,Person,197730,Antony HOOK,Hook,Antony,HOOK,,
person/197618,Person,197618,Elisabetta GUALMINI,Gualmini,Elisabetta,GUALMINI,,
person/197795,Person,197795,Mario FURORE,Furore,Mario,FURORE,,
person/4245,Person,4245,Luckas VANDER TAELEN,Vander Taelen,Luckas,VANDERTAELEN,,
person/197592,Person,197592,Pierfrancesco MAJORINO,Majorino,Pierfrancesco,MAJORINO,,
person/23804,Person,23804,Szabolcs FAZAKAS,Fazakas,Szabolcs,FAZAKAS,,
person/835,Person,835,Frans G. VAN DER GUN,van der Gun,Frans G.,GUN,,
person/4279,Person,4279,Ruth HIERONYMI,Hieronymi,Ruth,HIERONYMI,,
person/4335,Person,4335,Marielle DE SARNEZ,De Sarnez,Marielle,DESARNEZ,,
person/4538,Person,4538,Malcolm HARBOUR,Harbour,Malcolm,HARBOUR,,
person/96653,Person,96653,Katarína ROTH NEVEĎALOVÁ,Roth Neveďalová,Katarína,ROTHNEVEDALOVA,,
person/5737,Person,5737,Dominique VLASTO,Vlasto,Dominique,VLASTO,,
person/198373,Person,198373,Judita LAŠŠÁKOVÁ,Laššáková,Judita,LASSAKOVAJ,,
person/1226,Person,1226,Pedro BOFILL ABEILHE,Bofill Abeilhe,Pedro,BOFILL ABEILHE,,
person/197647,Person,197647,Dan-Ştefan MOTREANU,Motreanu,Dan-Ştefan,MOTREANU,,
person/1277,Person,1277,John IVERSEN,Iversen,John,IVERSEN,,
person/256989,Person,256989,Fidias PANAYIOTOU,Panayiotou,Fidias,PANAYIOTOUF,Παναγιώτου,Φειδίας
person/257071,Person,257071,Carla TAVARES,Tavares,Carla,TAVARESC,,
person/28206,Person,28206,Jean-Marie CAVADA,Cavada,Jean-Marie,CAVADA,,
person/29579,Person,29579,Marc TARABELLA,Tarabella,Marc,TARABELLA,,
person/257132,Person,257132,Ignazio Roberto MARINO,Marino,Ignazio Roberto,MARINOI,,
person/96934,Person,96934,Sandra KALNIETE,Kalniete,Sandra,KALNIETE,,
person/23848,Person,23848,Rihards PĪKS,Pīks,Rihards,PIKS,,
person/23855,Person,23855,Boriss CILEVIČS,Cilevičs,Boriss,CILEVICS,,
person/4711,Person,4711,Pietro-Paolo MENNEA,MENNEA,Pietro-Paolo,MENNEA,,
person/124712,Person,124712,Andrea BOCSKOR,Bocskor,Andrea,BOCSKOR,,
person/1626,Person,1626,Frode KRISTOFFERSEN,Kristoffersen,Frode,KRISTOFFERSEN,,
person/124722,Person,124722,Csaba MOLNÁR,Molnár,Csaba,MOLNAR,,
person/4249,Person,4249,Freddy THIELEMANS,Thielemans,Freddy,THIELEMANS,,
person/719,Person,719,Hector ROLLAND,Rolland,Hector,ROLLAND,,
person/579,Person,579,Werner DOLLINGER,Dollinger,Werner,DOLLINGER,,
person/197650,Person,197650,Isabel SANTOS,Santos,Isabel,SANTOSI,,
person/256845,Person,256845,Ondřej KRUTÍLEK,Krutílek,Ondřej,KRUTILEK,,
person/256853,Person,256853,Klara DOSTALOVA,Dostalova,Klara,DOSTALOVAK,,
person/197416,Person,197416,Giorgos GEORGIOU,Georgiou,Giorgos,GEORGIOUGI,Γεωργίου,Γιώργος
person/23869,Person,23869,Robert FICO,Fico,Robert,FICO,,
person/197837,Person,197837,Stasys JAKELIŪNAS,Jakeliūnas,Stasys,JAKELIUNAS,,
person/28155,Person,28155,Edit HERCZOG,Herczog,Edit,HERCZOG,,
person/941,Person,941,Ursula BRAUN-MOSER,Braun-Moser,Ursula,BRAUN-MOSER,,
person/2013,Person,2013,Christian JACOB,Jacob,Christian,JACOB,,
person/4294,Person,4294,Heide RÜHLE,Rühle,Heide,RUHLE,,
person/96735,Person,96735,Patrick LE HYARIC,Le Hyaric,Patrick,LEHYARIC,,
person/1877,Person,1877,Raymond CHESA,Chesa,Raymond,CHESA,,
person/213330,Person,213330,Ernő SCHALLER-BAROSS,Schaller-Baross,Ernő,SCHALLER,,
person/1339,Person,1339,Fernando MORÁN LÓPEZ,Morán López,Fernando,MORANLOPEZ,,
person/197628,Person,197628,Jean-Paul GARRAUD,Garraud,Jean-Paul,GARRAUD,,
person/103746,Person,103746,Michal ŠIMEČKA,Šimečka,Michal,SIMECKA,,
person/2134,Person,2134,Spalato BELLERÉ,Belleré,Spalato,BELLERE,,
person/28149,Person,28149,Poul Nyrup RASMUSSEN,Rasmussen,Poul Nyrup,RASMUSSEN,,
person/1795,Person,1795,José María ALVAREZ DE EULATE PEÑARANDA,Alvarez de Eulate Peñaranda,José María,ALVAREZ DE EULATE PEÑARANDA,,
person/101585,Person,101585,Niels FUGLSANG,Fuglsang,Niels,FUGLSANG,,
person/39629,Person,39629,Madeleine JOUYE DE GRANDMAISON,Jouye de Grandmaison,Madeleine,JOUYEDEGRANDMAISON,,
person/468,Person,468,Giuseppe CERULLI-IRELLI,Cerulli-Irelli,Giuseppe,CERULLI IRELLI,,
person/2107,Person,2107,Jan ANDERSSON,Andersson,Jan,ANDERSSONJ,,
person/23828,Person,23828,András KELEMEN,Kelemen,András,KELEMEN,,
person/1353,Person,1353,Carlos María BRU PURÓN,Bru Purón,Carlos María,BRUPURON,,
person/1205,Person,1205,Jean-Claude PASTY,PASTY,Jean-Claude,PASTY,,
person/116816,Person,116816,Preslav BORISSOV,Borissov,Preslav,BORISSOV,Борисов,Преслав
person/256815,Person,256815,Marjan ŠAREC,Šarec,Marjan,SARECM,,
person/257045,Person,257045,Michał WAWRYKIEWICZ,Wawrykiewicz,Michał,WAWRYKIEWICZM,,
person/4256,Person,4256,Ari VATANEN,Vatanen,Ari,VATANEN,,
person/98341,Person,98341,Eva MAYDELL,Maydell,Eva,MAYDELL,Майдел,Ева
