member_id,2008-06,2009-01,2009-02,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
125100.0,0,0,0,7,3,10,10,23,25,23,25,29,36,38,20,32,5,11,5,5,6,9,5,6,6,6,6,6,5,9,7,8,7,8,5,11,0,8,6,7,6,4,9,5,7,8,10,7,9,6,4,8,7,5,6,10,5,6,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124844.0,0,0,0,2,0,2,9,21,14,14,14,23,21,14,11,9,0,7,4,6,4,3,8,3,5,6,2,7,5,5,6,6,5,6,7,2,6,7,4,7,1,9,1,2,6,3,6,7,4,8,8,6,4,2,9,5,7,8,2,8,5,2,0,1,0,1,2,7,4,8,1,2,8,4,2,5,8,2,5,3,7,7,3,4,4,11,0,3,5,4,1,3,5,6,4,1,3,1,0,1,4,3,4,1,3,4,1,2,6,3,1,3,3,2,1,1,2,1,4,0,0,0,0,0,0,0,0
97203.0,0,0,0,35,0,24,26,33,15,31,52,26,20,15,10,21,2,17,5,7,6,5,6,5,7,5,7,5,4,6,5,7,5,8,10,5,2,1,9,6,4,11,5,1,4,5,6,5,7,7,5,1,7,12,1,2,8,10,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125044.0,0,0,0,11,1,22,28,30,20,30,27,35,24,24,34,21,0,31,8,5,8,7,6,6,5,6,3,6,5,5,5,5,5,5,3,13,0,6,13,1,5,9,6,4,3,7,1,4,6,1,3,2,3,11,6,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29579.0,0,0,0,5,24,22,18,41,30,30,40,22,37,24,65,25,0,8,8,5,6,6,7,5,5,7,5,6,5,5,5,5,4,4,5,6,4,1,1,1,1,2,1,0,1,2,2,1,0,0,0,2,0,0,0,1,0,1,1,1,2,1,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28586.0,0,0,0,4,2,7,13,9,17,12,7,8,11,15,11,7,0,5,4,4,5,4,6,5,6,5,4,4,2,5,10,6,4,3,1,16,3,5,5,5,1,5,13,3,0,6,15,5,2,3,8,3,0,6,2,1,4,3,13,1,4,6,6,5,7,7,4,3,4,6,3,5,9,3,7,5,3,7,6,7,6,7,3,1,3,6,3,1,3,3,2,2,7,0,4,4,1,2,2,3,3,2,1,0,4,3,3,1,4,1,0,3,0,2,0,2,1,1,1,0,0,0,0,0,0,0,0
125002.0,0,0,0,5,4,13,12,18,15,22,18,16,18,90,41,40,8,9,7,9,10,7,5,5,9,10,7,5,5,10,10,5,7,6,7,11,0,3,3,13,0,0,3,3,1,0,1,1,0,4,0,0,3,3,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96922.0,0,0,0,5,0,5,8,8,10,5,7,17,17,6,14,4,0,10,5,3,6,5,7,4,4,4,5,3,5,5,5,3,4,11,5,6,2,6,6,2,1,7,3,3,13,4,2,7,3,4,6,7,0,9,2,4,1,4,3,1,4,7,0,7,2,8,3,4,6,3,4,8,5,4,1,8,6,4,4,5,8,4,3,6,5,3,0,1,5,2,1,5,3,3,4,4,1,2,1,1,4,3,1,0,5,3,0,1,7,3,0,4,0,1,1,4,3,1,3,0,0,0,0,0,0,0,0
124972.0,0,0,0,5,1,5,8,25,21,7,5,28,8,8,19,6,3,3,5,4,4,4,5,6,5,4,3,5,0,4,7,3,1,7,6,5,1,2,5,4,2,7,1,3,5,1,7,2,3,11,5,3,0,5,5,5,0,1,1,2,6,2,0,1,8,3,2,1,3,5,5,2,8,7,1,11,7,2,6,2,5,5,6,3,5,5,0,6,7,3,7,4,3,4,4,3,4,3,0,3,0,2,3,3,7,4,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124779.0,0,0,0,3,0,6,6,8,10,14,25,18,24,11,9,10,2,7,4,1,4,1,6,2,5,4,6,5,2,5,5,6,4,5,5,4,4,2,4,3,1,8,3,6,2,2,6,4,3,1,6,2,0,2,3,2,1,5,3,6,7,2,0,2,2,6,3,11,5,8,4,5,12,2,3,5,10,3,4,5,9,5,3,5,6,8,2,7,7,1,4,7,5,4,6,1,4,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
